"RelaciónCompraAlquiler";"DPTO";"Año";"Valor"
"Alquiler";1,00;2006;20,74
"Alquiler";1,00;2007;20,30
"Alquiler";1,00;2008;21,16
"Alquiler";1,00;2009;21,33
"Alquiler";1,00;2010;20,73
"Alquiler";1,00;2011;21,46
"Alquiler";1,00;2012;22,27
"Alquiler";1,00;2013;23,62
"Alquiler";1,00;2014;23,17
"Alquiler";1,00;2015;25,30
"Alquiler";1,00;2016;23,73
"Alquiler";1,00;2017;24,13
"Alquiler";1,00;2018;25,50
"Alquiler";1,00;2019;31,18
"Alquiler";2,00;2006;15,74
"Alquiler";2,00;2007;13,22
"Alquiler";2,00;2008;13,73
"Alquiler";2,00;2009;14,73
"Alquiler";2,00;2010;25,58
"Alquiler";2,00;2011;14,73
"Alquiler";2,00;2012;15,31
"Alquiler";2,00;2013;20,30
"Alquiler";2,00;2014;17,19
"Alquiler";2,00;2015;15,07
"Alquiler";2,00;2016;18,02
"Alquiler";2,00;2017;17,04
"Alquiler";2,00;2018;19,29
"Alquiler";2,00;2019;17,41
"Alquiler";3,00;2006;17,31
"Alquiler";3,00;2007;17,84
"Alquiler";3,00;2008;16,39
"Alquiler";3,00;2009;16,34
"Alquiler";3,00;2010;16,09
"Alquiler";3,00;2011;15,90
"Alquiler";3,00;2012;17,28
"Alquiler";3,00;2013;17,55
"Alquiler";3,00;2014;17,42
"Alquiler";3,00;2015;18,88
"Alquiler";3,00;2016;27,42
"Alquiler";3,00;2017;20,58
"Alquiler";3,00;2018;20,38
"Alquiler";3,00;2019;21,27
"Alquiler";4,00;2006;16,06
"Alquiler";4,00;2007;15,70
"Alquiler";4,00;2008;14,50
"Alquiler";4,00;2009;13,76
"Alquiler";4,00;2010;14,91
"Alquiler";4,00;2011;16,34
"Alquiler";4,00;2012;16,72
"Alquiler";4,00;2013;16,03
"Alquiler";4,00;2014;17,69
"Alquiler";4,00;2015;19,00
"Alquiler";4,00;2016;18,75
"Alquiler";4,00;2017;18,73
"Alquiler";4,00;2018;19,65
"Alquiler";4,00;2019;19,08
"Alquiler";5,00;2006;17,76
"Alquiler";5,00;2007;17,51
"Alquiler";5,00;2008;17,03
"Alquiler";5,00;2009;16,39
"Alquiler";5,00;2010;15,45
