RelaciónCompraAlquiler;Departamento;Año;PROMEDIO(RAI/RCI)-MIDES;PROMEDIO(RAI/RCI)-ECH;PorcentajeDiferencia
Alquiler;Artigas;2006;16.1;15.74;2.24
Compra;Artigas;2006;9.3;10;7.53
Alquiler;Canelones;2006;18.8;17.31;7.93
Compra;Canelones;2006;15.5;33.83;118.26
Alquiler;Cerro Largo;2006;16.4;16.06;2.07
Compra;Cerro Largo;2006;11.8;11.32;4.07
Alquiler;Colonia;2006;17.8;17.76;0.22
Compra;Colonia;2006;14.6;12.95;11.3
Alquiler;Durazno;2006;16.7;16.45;1.5
Compra;Durazno;2006;9.8;9.18;6.33
Alquiler;Flores;2006;17.1;16.49;3.57
Compra;Flores;2006;12.6;11.68;7.3
Alquiler;Florida;2006;15.6;14.69;5.83
Compra;Florida;2006;8.8;7.84;10.91
Alquiler;Lavalleja;2006;17.7;16.27;8.08
Compra;Lavalleja;2006;12.2;9.96;18.36
Alquiler;Maldonado;2006;19.7;19.15;2.79
Compra;Maldonado;2006;14.8;15.65;5.74
Alquiler;Montevideo;2006;21.1;20.74;1.71
Compra;Montevideo;2006;16;15.96;0.25
Alquiler;Paysandu;2006;19.5;17.63;9.59
Compra;Paysandu;2006;11.9;11.12;6.55
Alquiler;Rio Negro;2006;17;14.89;12.41
Compra;Rio Negro;2006;10.8;9.46;12.41
Alquiler;Rivera;2006;15.2;14.47;4.8
Compra;Rivera;2006;11.3;10.34;8.5
Alquiler;Rocha;2006;16.7;15.91;4.73
Compra;Rocha;2006;12.1;11.94;1.32
Alquiler;Salto;2006;17.1;16.35;4.39
Compra;Salto;2006;11.8;10.33;12.46
Alquiler;San José;2006;17.8;15.96;10.34
Compra;San José;2006;13.7;10.92;20.29
Alquiler;Soriano;2006;16.9;15.41;8.82
Compra;Soriano;2006;10.8;9.35;13.43
Alquiler;Tacuarembó;2006;17.9;17.69;1.17
Compra;Tacuarembó;2006;12.9;12.19;5.5
Alquiler;Treinta y Tres;2006;15.5;14.58;5.94
Compra;Treinta y Tres;2006;10.9;9.61;11.83
Alquiler;Artigas;2007;13.8;13.22;4.2
Compra;Artigas;2007;8.6;8.09;5.93
Alquiler;Canelones;2007;17.8;17.84;0.22
Compra;Canelones;2007;15.2;29.3;92.76
Alquiler;Cerro Largo;2007;15.6;15.7;0.64
Compra;Cerro Largo;2007;10.8;10.61;1.76
Alquiler;Colonia;2007;17.5;17.51;0.06
